ordem,indice_original,latitude,longitude,chainage_m
0,0,-23.41620665170857,-46.73676819732765,0.0
1,1,-23.41973121893507,-46.74299851724102,746.8
2,2,-23.42468896201085,-46.7510485663054,1736.0
3,3,-23.43174918231973,-46.75678815477439,2715.4
4,4,-23.4366334602237,-46.76487760846809,3703.4
5,5,-23.44157792263285,-46.77319354505408,4714.4
6,6,-23.44710643126758,-46.78093069460331,5714.8
7,7,-23.45401581082502,-46.78947988398041,6877.1
8,29,-23.46057786451431,-46.79485818355642,7790.0
9,8,-23.46872183589873,-46.79999545774143,8836.3
10,9,-23.4764023868824,-46.80189111364098,9711.9
11,28,-23.48416900127748,-46.80352149154505,10591.4
12,10,-23.49207921736694,-46.81036727570424,11714.4
13,11,-23.49770190771368,-46.81759135356197,12680.6
14,12,-23.50555499830523,-46.82169397241566,13648.8
15,13,-23.51343800434936,-46.81782691424377,14610.0
16,14,-23.52170563744173,-46.81626054596568,15543.1
17,15,-23.53048545412375,-46.81788482709296,16533.3
18,16,-23.53946643257767,-46.81780057300437,17532.0
19,17,-23.54819901151217,-46.8204873589343,18540.9
20,18,-23.55701581063191,-46.81942285592882,19527.3
21,19,-23.56590117894929,-46.81932220393983,20515.3
22,20,-23.57180008402659,-46.81229919156129,21486.2
23,21,-23.58008427648159,-46.80871172957502,22477.3
24,22,-23.58879929205679,-46.80937006832517,23448.6
25,23,-23.60663104010733,-46.81417124344074,25490.9
26,24,-23.61317607363064,-46.82046431945657,26460.8
27,25,-23.61844717840223,-46.82756353605118,27391.8
28,26,-23.62733019359985,-46.82950912590344,28399.2
29,27,-23.63253885917052,-46.83184134075487,29025.3
