km_marco_m,ndvi_medio,ndvi_mediana,ndvi_p10,ndvi_p90,n_pixels,nuvem_pct,data_imagem,data_alvo,defasagem_dias
0,0.5055514558625551,0.5053282292107351,0.22493477784268942,0.7638154636457989,726,0.0,2026-03-16,2026-03-13,3
500,0.5309607287535135,0.5782345828295042,0.2582043343653251,0.752626050420168,41,0.0,2026-03-16,2026-03-13,3
1000,0.5701736378390052,0.5766480156949363,0.38164252595036646,0.7389864662818301,98,0.0,2026-03-16,2026-03-13,3
1500,0.5168664941711696,0.5063181994215463,0.3379654706008427,0.6984701484177526,319,0.0,2026-03-16,2026-03-13,3
2000,0.585817645985932,0.5847616823291324,0.4020721210872293,0.7477346306010357,167,0.0,2026-03-16,2026-03-13,3
3500,0.4375252112792305,0.42867060048594235,0.24454809569085856,0.6322741877900749,10,0.0,2026-03-16,2026-03-13,3
4000,0.44457123318646513,0.5015567653085145,0.14180790895725603,0.6663717622991066,403,0.0,2026-03-16,2026-03-13,3
4500,0.3794250849539634,0.4315122683584743,0.0750690566985466,0.6649121933648882,187,0.0,2026-03-16,2026-03-13,3
5000,0.5322541008621023,0.551865035258774,0.3416328274805698,0.6839024390243903,292,0.0,2026-03-16,2026-03-13,3
5500,0.3894810463861903,0.41611953342849894,0.06438595166163627,0.7023621507968912,322,0.0,2026-03-16,2026-03-13,3
6000,0.5426816130758327,0.5604964801197018,0.3354776094857421,0.7170265859883841,178,0.0,2026-03-16,2026-03-13,3
6500,0.5926189421881687,0.6035260468839795,0.3994701322505361,0.7833900646131714,148,0.0,2026-03-16,2026-03-13,3
7000,0.679609875472732,0.7274593273978975,0.4518048466091584,0.8416239267409927,255,0.0,2026-03-16,2026-03-13,3
8500,0.5833809322494738,0.6244314489928525,0.3268053855569155,0.7169860928481276,31,0.0,2026-03-16,2026-03-13,3
9000,0.48841452386600953,0.5213419584011614,0.2090313182811362,0.7193781217380196,152,0.0,2026-03-16,2026-03-13,3
9500,0.5177501505968141,0.5452278064959685,0.309773817408351,0.673707413685094,373,0.0,2026-03-16,2026-03-13,3
10000,0.5686290717900654,0.5873667956391004,0.35351293226649244,0.7370803086749973,199,0.0,2026-03-16,2026-03-13,3
10500,0.6293627791051434,0.6611926165285744,0.43537165873306477,0.7880567792462067,77,0.0,2026-03-16,2026-03-13,3
11000,0.590365075487143,0.6145963509122719,0.3185378590078329,0.7442455242966752,18,0.0,2026-03-16,2026-03-13,3
11500,0.49892435937348223,0.5398363690891106,0.3013923013923014,0.6513002210116025,71,0.0,2026-03-16,2026-03-13,3
12000,0.5485975013123464,0.5459221158656059,0.3149438241181053,0.7571234317775033,175,0.0,2026-03-16,2026-03-13,3
12500,0.500410631803041,0.46247322962856974,0.21778153469415992,0.8215102974828375,136,0.0,2026-03-16,2026-03-13,3
13000,0.4562362963143816,0.46690177102450003,0.22089788313161685,0.662434442754969,277,0.0,2026-03-16,2026-03-13,3
13500,0.536438878641861,0.5732498234154294,0.2378025355359201,0.7566242924976229,65,0.0,2026-03-16,2026-03-13,3
14000,0.42591884819738624,0.4213685474189676,0.16579314299299297,0.7011690903906472,249,0.0,2026-03-16,2026-03-13,3
14500,0.3249387308364294,0.2894659191501918,0.17673758865248226,0.5114104002992892,4,0.0,2026-03-16,2026-03-13,3
15000,0.5415425665432065,0.5723483438950492,0.2752075756733436,0.7474308737821429,265,0.0,2026-03-16,2026-03-13,3
15500,0.3591305380785618,0.38873240318689806,0.07877744296168747,0.6786275737340011,57,0.0,2026-03-16,2026-03-13,3
16000,0.3430532257801225,0.38007636237417564,0.1279748540637629,0.5299352750809061,6,0.0,2026-03-16,2026-03-13,3
16500,0.10193364245730893,0.10469586951276949,0.038202758090779644,0.16121484198004074,163,0.0,2026-03-16,2026-03-13,3
17000,0.35926643727333657,0.3577535557781934,0.1611136351602239,0.5847874720357942,39,0.0,2026-03-16,2026-03-13,3
17500,0.47353430198691276,0.5591647331786543,0.10713262469138543,0.7238951559824756,168,0.0,2026-03-16,2026-03-13,3
18000,0.4847910604189357,0.5449927150616516,0.18132836327928317,0.6735269997880129,283,0.0,2026-03-16,2026-03-13,3
18500,0.535641505453826,0.5727083701444533,0.2912611188018779,0.7050619268812786,62,0.0,2026-03-16,2026-03-13,3
19000,0.5355851595707768,0.5839211469295319,0.15854921838031658,0.8193028448218099,488,0.0,2026-03-16,2026-03-13,3
19500,0.6021595813042849,0.6152080458153808,0.381807081569507,0.8141711730788268,312,0.0,2026-03-16,2026-03-13,3
20000,0.5150406043333098,0.5215150967481611,0.22571670787535839,0.7833439285890976,400,0.0,2026-03-16,2026-03-13,3
20500,0.5276553746456455,0.5876934000066352,0.17017867413841836,0.776285776843624,77,0.0,2026-03-16,2026-03-13,3
21000,0.3852083958869917,0.42349343344984297,0.16749890450825955,0.5584748478051906,80,0.0,2026-03-16,2026-03-13,3
21500,0.3632204799701213,0.35340625548549504,0.15722658509725812,0.6011510791366906,146,0.0,2026-03-16,2026-03-13,3
22000,0.41780644237402753,0.4203800499651228,0.16652222578480322,0.6964496591229686,297,0.0,2026-03-16,2026-03-13,3
22500,0.4437863969579601,0.44601368576316464,0.24873812265344789,0.6369114877589453,90,0.0,2026-03-16,2026-03-13,3
23000,0.4296660187765001,0.41638927603390635,0.15709069687442276,0.7722158438576349,194,0.251,2026-03-16,2026-03-13,3
23500,0.7263849310775666,0.717948717948718,0.6071213035606517,0.8387443560524618,1,0.9978,2026-03-16,2026-03-13,3
24000,,,,,0,1.0,2026-03-16,2026-03-13,3
24500,,,,,0,1.0,2026-03-16,2026-03-13,3
25000,,,,,0,1.0,2026-03-16,2026-03-13,3
25500,,,,,0,1.0,2026-03-16,2026-03-13,3
26000,,,,,0,1.0,2026-03-16,2026-03-13,3
26500,,,,,0,1.0,2026-03-16,2026-03-13,3
27000,,,,,0,1.0,2026-03-16,2026-03-13,3
27500,,,,,0,1.0,2026-03-16,2026-03-13,3
28000,,,,,0,1.0,2026-03-16,2026-03-13,3
28500,,,,,0,1.0,2026-03-16,2026-03-13,3
0,0.5218580742246535,0.5366717049469316,0.21327455326180744,0.7912689641712946,726,0.0,2026-03-21,2026-03-20,1
500,0.5809531213506258,0.6309226932668329,0.31871245525737096,0.7959463261136114,41,0.0,2026-03-21,2026-03-20,1
1000,0.5822507869363649,0.5980750823650226,0.36092524255512615,0.7640326434357415,98,0.0,2026-03-21,2026-03-20,1
1500,0.5255721869463579,0.5284947402423672,0.35739529510048196,0.6970735023054256,319,0.0,2026-03-21,2026-03-20,1
2000,0.6073252947625677,0.6036965527267787,0.4307992202729044,0.7607963588594915,167,0.0,2026-03-21,2026-03-20,1
