km_marco_m,de,ate,ndvi_antes,ndvi_depois,queda
0,2026-03-21,2026-03-26,0.5367,0.3537,0.183
500,2019-02-01,2019-02-11,0.5138,0.3434,0.1704
500,2022-05-11,2022-05-21,0.5604,0.4072,0.1532
500,2023-02-10,2023-02-15,0.5942,0.3759,0.2183
500,2024-05-05,2024-05-10,0.5522,0.3931,0.1591
500,2024-08-03,2024-08-08,0.5175,0.3456,0.1719
500,2026-03-21,2026-03-26,0.6309,0.4354,0.1955
1000,2022-05-01,2022-05-06,0.5183,0.3271,0.1912
1000,2023-02-10,2023-02-15,0.5323,0.3638,0.1685
1500,2023-04-01,2023-04-11,0.5257,0.3453,0.1804
2000,2019-04-02,2019-04-07,0.5763,0.2861,0.2902
2000,2021-06-05,2021-06-15,0.5213,0.2523,0.269
2000,2021-11-27,2021-12-07,0.4956,-0.0069,0.5025
2000,2023-02-10,2023-02-15,0.5103,0.3428,0.1675
2000,2025-05-20,2025-05-22,0.5436,0.3498,0.1938
3500,2019-04-02,2019-04-12,0.6518,0.4462,0.2056
3500,2019-05-27,2019-06-06,0.5227,0.3688,0.1539
3500,2019-07-31,2019-08-05,0.4772,0.2383,0.2389
3500,2022-05-21,2022-05-26,0.4871,0.3251,0.162
3500,2023-04-01,2023-04-06,0.509,0.3258,0.1832
3500,2025-06-29,2025-07-09,0.4602,0.2763,0.1839
3500,2025-11-01,2025-11-11,0.5024,0.3341,0.1683
4000,2025-05-20,2025-05-22,0.4709,0.2998,0.1711
4500,2025-05-20,2025-05-22,0.5049,0.319,0.1859
5000,2019-07-31,2019-08-05,0.4638,0.2746,0.1892
5000,2021-06-05,2021-06-15,0.4874,0.334,0.1534
5000,2025-05-20,2025-05-22,0.5066,0.3564,0.1502
5500,2019-07-31,2019-08-05,0.5106,0.2803,0.2303
5500,2021-06-05,2021-06-15,0.502,0.2822,0.2198
5500,2023-07-25,2023-07-30,0.4664,0.2898,0.1766
5500,2023-08-04,2023-08-09,0.4516,0.2288,0.2228
5500,2025-01-20,2025-01-25,0.5563,0.3998,0.1565
