km_marco_m,data_imagem,ndvi_mediana,n_pixels,nuvem_pct
0,2019-01-07,0.4745,726,0.0
0,2019-01-22,0.4162,721,0.0069
0,2019-01-27,0.4474,725,0.0014
0,2019-02-01,0.4478,721,0.0069
0,2019-03-23,0.4931,726,0.0
0,2019-04-02,0.4551,725,0.0014
0,2019-04-12,0.4543,719,0.0096
0,2019-04-22,0.4636,726,0.0
0,2019-04-27,0.5053,726,0.0
0,2019-05-22,0.4814,726,0.0
0,2019-05-27,0.4881,726,0.0
0,2019-06-11,0.4628,726,0.0
0,2019-06-16,0.4513,726,0.0
0,2019-06-26,0.4352,726,0.0
0,2019-07-06,0.4241,726,0.0
0,2019-07-11,0.373,726,0.0
0,2019-07-26,0.3147,726,0.0
0,2019-07-31,0.3694,726,0.0
0,2019-08-10,0.2903,726,0.0
0,2019-08-15,0.3297,726,0.0
0,2019-08-30,0.3026,726,0.0
0,2019-09-09,0.3301,726,0.0
0,2019-09-14,0.3222,726,0.0
0,2019-09-29,0.3338,724,0.0028
0,2019-10-04,0.3262,726,0.0
0,2019-10-14,0.3337,726,0.0
0,2019-11-03,0.3381,726,0.0
0,2019-11-13,0.3066,682,0.0606
0,2019-12-08,0.3805,724,0.0028
0,2020-01-27,0.4354,726,0.0
0,2020-03-07,0.4279,714,0.0165
0,2020-03-12,0.4713,724,0.0028
0,2020-03-17,0.5008,726,0.0
0,2020-03-22,0.5019,683,0.0592
0,2020-04-01,0.4588,726,0.0
0,2020-04-06,0.4663,726,0.0
0,2020-04-16,0.3969,621,0.1446
0,2020-04-21,0.44,716,0.0138
0,2020-04-26,0.42,726,0.0
0,2020-05-01,0.377,726,0.0
0,2020-05-11,0.412,726,0.0
0,2020-05-16,0.3768,726,0.0
0,2020-05-21,0.3688,726,0.0
0,2020-05-26,0.3927,726,0.0
0,2020-05-31,0.3726,726,0.0
0,2020-06-20,0.358,654,0.0992
0,2020-07-05,0.3377,691,0.0482
0,2020-07-10,0.3927,726,0.0
0,2020-07-20,0.3922,726,0.0
0,2020-07-25,0.3458,726,0.0
0,2020-08-04,0.361,726,0.0
0,2020-08-09,0.3382,726,0.0
0,2020-08-19,0.3574,726,0.0
0,2020-08-24,0.376,726,0.0
0,2020-08-29,0.3414,726,0.0
0,2020-09-03,0.3332,726,0.0
0,2020-09-08,0.3262,726,0.0
0,2020-09-13,0.3142,726,0.0
0,2020-10-13,0.3343,726,0.0
0,2020-10-18,0.318,703,0.0317
0,2020-10-23,0.3495,726,0.0
0,2020-10-28,0.3774,726,0.0
0,2020-11-07,0.3418,726,0.0
0,2020-11-22,0.3769,723,0.0041
0,2021-01-31,0.483,725,0.0014
0,2021-02-10,0.4901,719,0.0096
0,2021-02-20,0.4789,584,0.1956
0,2021-03-02,0.4902,723,0.0041
0,2021-03-12,0.4866,721,0.0069
0,2021-03-22,0.4625,726,0.0
0,2021-03-27,0.4548,726,0.0
0,2021-04-01,0.4242,669,0.0785
0,2021-04-11,0.4942,726,0.0
0,2021-04-26,0.401,679,0.0647
0,2021-05-01,0.4588,726,0.0
0,2021-05-06,0.4359,726,0.0
0,2021-05-11,0.3845,657,0.095
0,2021-05-21,0.444,726,0.0
0,2021-05-26,0.4507,726,0.0
0,2021-06-05,0.4319,726,0.0
0,2021-06-15,0.3771,726,0.0
0,2021-07-10,0.3697,726,0.0
0,2021-07-20,0.3493,726,0.0
0,2021-07-25,0.3255,726,0.0
0,2021-07-30,0.3342,726,0.0
0,2021-08-09,0.2987,726,0.0
0,2021-08-19,0.2988,726,0.0
0,2021-08-24,0.3104,726,0.0
0,2021-09-03,0.3263,726,0.0
0,2021-09-08,0.3148,621,0.1446
0,2021-09-23,0.3458,726,0.0
0,2021-09-28,0.3339,726,0.0
0,2021-10-08,0.3414,682,0.0606
0,2021-10-23,0.3767,726,0.0
0,2021-11-07,0.3848,726,0.0
0,2021-11-17,0.3341,723,0.0041
0,2021-11-22,0.3964,724,0.0028
0,2021-11-27,0.3771,672,0.0744
0,2021-12-02,0.3657,722,0.0055
0,2021-12-07,-0.0058,711,0.0207
0,2021-12-12,0.3616,726,0.0
0,2021-12-22,0.4003,723,0.0041
0,2022-01-16,0.4357,719,0.0096
0,2022-01-21,0.5012,726,0.0
0,2022-01-26,0.4701,612,0.157
0,2022-02-10,0.4893,692,0.0468
0,2022-03-02,0.5137,726,0.0
0,2022-03-07,0.4549,726,0.0
0,2022-03-17,0.4508,596,0.1791
0,2022-03-22,0.499,726,0.0
0,2022-04-11,0.5213,726,0.0
0,2022-04-21,0.4231,634,0.1267
0,2022-04-26,0.5029,726,0.0
0,2022-05-01,0.466,726,0.0
0,2022-05-11,0.4507,726,0.0
0,2022-05-21,0.4086,726,0.0
0,2022-05-26,0.4359,726,0.0
0,2022-06-05,0.3726,726,0.0
0,2022-06-25,0.342,726,0.0
0,2022-06-30,0.385,726,0.0
0,2022-07-05,0.3807,726,0.0
0,2022-07-10,0.3571,699,0.0372
0,2022-07-25,0.3415,726,0.0
0,2022-07-30,0.3696,701,0.0344
0,2022-08-14,0.346,726,0.0
0,2022-08-24,0.3256,726,0.0
0,2022-09-03,0.2289,726,0.0
0,2022-09-18,0.3181,726,0.0
0,2022-09-23,0.3143,726,0.0
0,2022-10-23,0.3925,726,0.0
0,2022-11-17,0.4083,726,0.0
0,2022-12-02,0.4116,724,0.0028
0,2022-12-17,0.4047,724,0.0028
0,2023-01-16,0.49,726,0.0
0,2023-01-26,0.5141,726,0.0
0,2023-02-10,0.5251,689,0.051
0,2023-02-15,0.4628,628,0.135
0,2023-02-20,0.5684,726,0.0
0,2023-03-02,0.541,726,0.0
0,2023-03-17,0.5447,723,0.0041
0,2023-03-22,0.5414,726,0.0
0,2023-04-01,0.5604,726,0.0
0,2023-04-16,0.5411,626,0.1377
0,2023-04-21,0.522,726,0.0
0,2023-05-01,0.4981,726,0.0
0,2023-05-11,0.4512,653,0.1006
0,2023-05-16,0.4948,726,0.0
0,2023-05-26,0.4473,726,0.0
0,2023-06-05,0.4672,726,0.0
0,2023-06-10,0.4358,726,0.0
0,2023-06-20,0.4275,726,0.0
0,2023-06-25,0.4239,726,0.0
0,2023-06-30,0.3732,726,0.0
0,2023-07-05,0.4081,726,0.0
0,2023-07-15,0.4081,726,0.0
0,2023-07-25,0.3727,726,0.0
0,2023-08-04,0.3418,726,0.0
0,2023-08-09,0.3377,726,0.0
0,2023-08-24,0.3028,726,0.0
0,2023-09-03,0.3691,681,0.062
0,2023-09-08,0.3731,726,0.0
0,2023-09-13,0.3538,726,0.0
0,2023-09-18,0.3499,726,0.0
0,2023-09-23,0.3422,726,0.0
0,2023-10-23,0.4393,726,0.0
0,2023-11-07,0.4282,726,0.0
0,2023-11-12,0.3729,726,0.0
0,2023-12-02,0.4394,726,0.0
0,2023-12-27,0.4558,726,0.0
0,2024-01-06,0.4238,677,0.0675
0,2024-02-05,0.5065,726,0.0
0,2024-02-25,0.4784,662,0.0882
0,2024-03-11,0.5217,726,0.0
0,2024-03-16,0.4751,726,0.0
0,2024-03-21,0.4703,711,0.0207
0,2024-03-31,0.5451,726,0.0
0,2024-04-05,0.5101,726,0.0
0,2024-04-10,0.5212,726,0.0
0,2024-04-20,0.5254,726,0.0
0,2024-04-30,0.4555,726,0.0
0,2024-05-05,0.4468,726,0.0
0,2024-05-10,0.389,726,0.0
0,2024-05-20,0.4045,726,0.0
0,2024-05-30,0.4201,725,0.0014
0,2024-06-09,0.4079,726,0.0
0,2024-06-14,0.4007,726,0.0
0,2024-06-19,0.4117,726,0.0
0,2024-06-24,0.3804,726,0.0
0,2024-06-29,0.3343,726,0.0
0,2024-07-19,0.365,726,0.0
0,2024-07-24,0.3423,726,0.0
0,2024-07-29,0.3101,726,0.0
0,2024-08-03,0.3186,726,0.0
0,2024-08-08,0.295,726,0.0
0,2024-08-18,0.3295,726,0.0
0,2024-08-23,0.3144,726,0.0
0,2024-08-28,0.3337,726,0.0
0,2024-09-02,0.287,726,0.0
0,2024-09-07,0.2988,726,0.0
0,2024-09-12,0.2945,726,0.0
0,2024-09-22,0.311,726,0.0
0,2024-10-02,0.2444,726,0.0
0,2024-10-07,0.291,726,0.0
0,2024-10-17,0.3029,726,0.0
0,2024-10-22,0.2948,694,0.0441
0,2024-11-01,0.3349,726,0.0
0,2024-11-11,0.4079,726,0.0
0,2024-11-26,0.404,726,0.0
0,2024-12-31,0.4952,714,0.0165
0,2025-01-25,0.4594,726,0.0
0,2025-02-19,0.5374,726,0.0
0,2025-02-24,0.5296,726,0.0
0,2025-03-01,0.4985,726,0.0
0,2025-03-06,0.5023,612,0.157
0,2025-03-21,0.5135,724,0.0028
0,2025-04-12,0.5062,683,0.0592
0,2025-04-15,0.522,726,0.0
0,2025-04-30,0.5377,583,0.197
0,2025-05-02,0.4236,716,0.0138
0,2025-05-05,0.4984,726,0.0
0,2025-05-15,0.506,726,0.0
0,2025-05-20,0.4541,726,0.0
0,2025-05-22,0.4158,726,0.0
0,2025-05-25,0.4515,726,0.0
0,2025-05-30,0.4509,726,0.0
0,2025-06-04,0.4403,726,0.0
0,2025-06-19,0.4319,726,0.0
0,2025-06-29,0.4157,726,0.0
0,2025-07-09,0.3962,724,0.0028
0,2025-07-14,0.3845,726,0.0
0,2025-07-19,0.3574,726,0.0
0,2025-07-21,0.3303,726,0.0
0,2025-07-24,0.275,612,0.157
0,2025-07-29,0.3692,726,0.0
0,2025-08-03,0.3105,726,0.0
0,2025-08-08,0.2565,623,0.1419
0,2025-08-13,0.3027,726,0.0
0,2025-08-18,0.2594,684,0.0579
0,2025-08-30,0.303,726,0.0
0,2025-09-27,0.3105,726,0.0
0,2025-10-17,0.2873,726,0.0
0,2025-10-22,0.338,726,0.0
0,2025-11-01,0.3299,714,0.0165
0,2025-11-11,0.3813,726,0.0
0,2025-11-21,0.3884,726,0.0
0,2025-11-26,0.412,726,0.0
0,2025-12-01,0.3535,726,0.0
0,2025-12-06,0.3379,726,0.0
0,2025-12-11,0.361,701,0.0344
0,2025-12-26,0.4119,726,0.0
0,2025-12-28,0.4322,726,0.0
0,2026-01-10,0.4595,726,0.0
0,2026-03-01,0.4832,632,0.1295
0,2026-03-16,0.5053,726,0.0
0,2026-03-21,0.5367,726,0.0
