km_marco_m,faixa,classe_d1,classe_d2,transicao
3000,cant_dispositivo_ext,3,2,rocado
3500,cant_dispositivo_ext,3,2,rocado
6000,cant_dispositivo_ext,1,1,estavel
6500,cant_dispositivo_ext,1,1,estavel
15000,cant_dispositivo_ext,1,1,estavel
15500,cant_dispositivo_ext,1,1,estavel
19500,cant_dispositivo_ext,1,2,cresceu
20000,cant_dispositivo_ext,1,2,cresceu
24000,cant_dispositivo_ext,1,2,cresceu
24500,cant_dispositivo_ext,1,2,cresceu
29300,cant_dispositivo_ext,3,3,estavel
20000,cant_marginal_externa,1,1,estavel
20500,cant_marginal_externa,1,1,estavel
21000,cant_marginal_externa,1,1,estavel
21500,cant_marginal_externa,1,1,estavel
22000,cant_marginal_externa,1,1,estavel
22500,cant_marginal_externa,1,1,estavel
23000,cant_marginal_externa,1,1,estavel
23500,cant_marginal_externa,1,1,estavel
0,cant_lateral_externa,1,1,estavel
500,cant_lateral_externa,1,1,estavel
1000,cant_lateral_externa,1,1,estavel
1500,cant_lateral_externa,1,1,estavel
2000,cant_lateral_externa,2,1,rocado
2500,cant_lateral_externa,2,2,estavel
3000,cant_lateral_externa,1,2,cresceu
3500,cant_lateral_externa,1,2,cresceu
4000,cant_lateral_externa,1,2,cresceu
4500,cant_lateral_externa,2,1,rocado
5000,cant_lateral_externa,2,1,rocado
5500,cant_lateral_externa,2,2,estavel
6000,cant_lateral_externa,2,2,estavel
6500,cant_lateral_externa,2,2,estavel
7000,cant_lateral_externa,2,2,estavel
9000,cant_lateral_externa,3,2,rocado
9500,cant_lateral_externa,3,1,rocado
10000,cant_lateral_externa,3,1,rocado
10500,cant_lateral_externa,3,1,rocado
11500,cant_lateral_externa,1,1,estavel
12000,cant_lateral_externa,1,1,estavel
12500,cant_lateral_externa,1,1,estavel
13000,cant_lateral_externa,1,1,estavel
13500,cant_lateral_externa,1,1,estavel
14000,cant_lateral_externa,2,1,rocado
14500,cant_lateral_externa,2,1,rocado
15000,cant_lateral_externa,3,1,rocado
15500,cant_lateral_externa,3,1,rocado
16000,cant_lateral_externa,3,1,rocado
16500,cant_lateral_externa,3,1,rocado
17000,cant_lateral_externa,3,1,rocado
17500,cant_lateral_externa,3,1,rocado
18000,cant_lateral_externa,3,1,rocado
18500,cant_lateral_externa,1,1,estavel
19000,cant_lateral_externa,1,1,estavel
19500,cant_lateral_externa,1,1,estavel
20000,cant_lateral_externa,1,1,estavel
20500,cant_lateral_externa,1,1,estavel
21000,cant_lateral_externa,1,1,estavel
21500,cant_lateral_externa,1,1,estavel
22000,cant_lateral_externa,1,1,estavel
22500,cant_lateral_externa,1,1,estavel
23000,cant_lateral_externa,1,1,estavel
23500,cant_lateral_externa,1,1,estavel
24000,cant_lateral_externa,1,1,estavel
24500,cant_lateral_externa,1,1,estavel
25000,cant_lateral_externa,3,3,estavel
25500,cant_lateral_externa,3,3,estavel
26000,cant_lateral_externa,3,3,estavel
26500,cant_lateral_externa,3,2,rocado
27000,cant_lateral_externa,1,2,cresceu
27500,cant_lateral_externa,1,2,cresceu
28000,cant_lateral_externa,1,2,cresceu
29000,cant_lateral_externa,1,2,cresceu
29300,cant_lateral_externa,1,2,cresceu
0,cant_central_externa,1,2,cresceu
500,cant_central_externa,1,2,cresceu
1000,cant_central_externa,1,1,estavel
1500,cant_central_externa,1,1,estavel
2000,cant_central_externa,1,1,estavel
2500,cant_central_externa,3,3,estavel
3000,cant_central_externa,1,1,estavel
3500,cant_central_externa,1,1,estavel
4000,cant_central_externa,1,1,estavel
4500,cant_central_externa,1,1,estavel
5000,cant_central_externa,1,1,estavel
5500,cant_central_externa,1,1,estavel
6000,cant_central_externa,3,1,rocado
6500,cant_central_externa,2,1,rocado
7000,cant_central_externa,1,1,estavel
9000,cant_central_externa,2,2,estavel
9500,cant_central_externa,2,1,rocado
10000,cant_central_externa,1,1,estavel
10500,cant_central_externa,1,1,estavel
11500,cant_central_externa,1,1,estavel
12000,cant_central_externa,1,1,estavel
12500,cant_central_externa,1,1,estavel
13000,cant_central_externa,1,1,estavel
13500,cant_central_externa,1,1,estavel
14000,cant_central_externa,1,1,estavel
14500,cant_central_externa,1,1,estavel
15000,cant_central_externa,2,2,estavel
15500,cant_central_externa,2,2,estavel
16000,cant_central_externa,1,1,estavel
16500,cant_central_externa,1,1,estavel
17000,cant_central_externa,1,1,estavel
17500,cant_central_externa,1,1,estavel
18000,cant_central_externa,1,1,estavel
18500,cant_central_externa,1,1,estavel
19000,cant_central_externa,1,1,estavel
19500,cant_central_externa,1,1,estavel
20000,cant_central_externa,1,1,estavel
20500,cant_central_externa,1,3,cresceu
21000,cant_central_externa,3,3,estavel
21500,cant_central_externa,3,1,rocado
23500,cant_central_externa,1,1,estavel
24000,cant_central_externa,1,1,estavel
24500,cant_central_externa,1,1,estavel
25500,cant_central_externa,1,1,estavel
26000,cant_central_externa,1,2,cresceu
26500,cant_central_externa,1,2,cresceu
27000,cant_central_externa,1,2,cresceu
27500,cant_central_externa,1,1,estavel
28000,cant_central_externa,1,1,estavel
29000,cant_central_externa,1,1,estavel
29300,cant_central_externa,1,1,estavel
0,cant_central_interna,1,2,cresceu
500,cant_central_interna,1,2,cresceu
1000,cant_central_interna,1,1,estavel
1500,cant_central_interna,1,1,estavel
2000,cant_central_interna,1,1,estavel
2500,cant_central_interna,3,3,estavel
3000,cant_central_interna,1,1,estavel
3500,cant_central_interna,1,1,estavel
4000,cant_central_interna,1,1,estavel
4500,cant_central_interna,1,1,estavel
5000,cant_central_interna,1,1,estavel
5500,cant_central_interna,1,1,estavel
6000,cant_central_interna,3,1,rocado
6500,cant_central_interna,2,1,rocado
7000,cant_central_interna,1,1,estavel
9000,cant_central_interna,2,2,estavel
9500,cant_central_interna,2,1,rocado
10000,cant_central_interna,1,1,estavel
10500,cant_central_interna,1,1,estavel
11500,cant_central_interna,1,1,estavel
12000,cant_central_interna,1,1,estavel
12500,cant_central_interna,1,1,estavel
13000,cant_central_interna,1,1,estavel
13500,cant_central_interna,1,1,estavel
14000,cant_central_interna,1,1,estavel
14500,cant_central_interna,1,1,estavel
15000,cant_central_interna,2,2,estavel
15500,cant_central_interna,2,2,estavel
19500,cant_central_interna,1,1,estavel
20000,cant_central_interna,1,1,estavel
20500,cant_central_interna,1,3,cresceu
21000,cant_central_interna,3,3,estavel
21500,cant_central_interna,3,1,rocado
22000,cant_central_interna,3,1,rocado
22500,cant_central_interna,3,1,rocado
23000,cant_central_interna,3,1,rocado
23500,cant_central_interna,1,1,estavel
24000,cant_central_interna,1,1,estavel
24500,cant_central_interna,1,1,estavel
25000,cant_central_interna,1,1,estavel
25500,cant_central_interna,1,1,estavel
26000,cant_central_interna,1,2,cresceu
26500,cant_central_interna,1,2,cresceu
27000,cant_central_interna,1,2,cresceu
27500,cant_central_interna,1,1,estavel
28000,cant_central_interna,1,1,estavel
29000,cant_central_interna,1,1,estavel
29300,cant_central_interna,1,1,estavel
0,cant_lateral_interna,2,1,rocado
500,cant_lateral_interna,2,1,rocado
1000,cant_lateral_interna,2,1,rocado
1500,cant_lateral_interna,2,1,rocado
2000,cant_lateral_interna,3,1,rocado
2500,cant_lateral_interna,2,2,estavel
3000,cant_lateral_interna,2,2,estavel
3500,cant_lateral_interna,2,2,estavel
4000,cant_lateral_interna,3,3,estavel
4500,cant_lateral_interna,3,3,estavel
5000,cant_lateral_interna,3,1,rocado
5500,cant_lateral_interna,3,1,rocado
6000,cant_lateral_interna,3,1,rocado
6500,cant_lateral_interna,3,1,rocado
7000,cant_lateral_interna,1,1,estavel
9000,cant_lateral_interna,1,1,estavel
9500,cant_lateral_interna,1,1,estavel
10000,cant_lateral_interna,2,1,rocado
10500,cant_lateral_interna,2,1,rocado
11500,cant_lateral_interna,2,1,rocado
12000,cant_lateral_interna,2,1,rocado
