indice,metodo,km_descricao,km_marco_m,distancia_eixo_m,area_m2,latitude,longitude
0,"Spider, Giro-Zero ou Trator com trincheira",0,0,460.9,33.3059936967473,-23.41766405782872,-46.732540934292
1,"Spider, Giro-Zero ou Trator com trincheira",0,0,425.8,285.951516502876,-23.41754987008568,-46.7328619204985
2,"Spider, Giro-Zero ou Trator com trincheira",0,0,36.5,7541.07582762796,-23.41785492639379,-46.7403656002461
3,Apenas manual,0,0,560.7,1272.69706507881,-23.41847351187127,-46.7318582088167
4,Apenas manual,0,0,547.7,351.156489069582,-23.41790326126866,-46.731730544087
5,Apenas manual,0,0,366.0,1682.69288211883,-23.41745145497434,-46.733448766443
6,Apenas manual,0,0,452.5,607.268425188088,-23.41802459825758,-46.7327994999216
7,Apenas manual,0,0,43.8,224.339629730104,-23.41816659659105,-46.7410537661139
8,"Spider, Giro-Zero ou Trator com trincheira",0,0,8.1,7977.98155663886,-23.41832370676403,-46.740359104549
9,"Spider, Giro-Zero ou Trator com trincheira",0,0,125.8,19336.9166657098,-23.41858370867422,-46.738612609614
10,"Spider, com ancoragem",0,0,406.2,72.6437527743864,-23.41744102087296,-46.7330226609005
11,"Spider, Giro-Zero ou Trator com trincheira",0,500,30.2,123.266874310646,-23.41840850171336,-46.7412271419334
12,"Spider, Giro-Zero ou Trator com trincheira",0,500,77.6,3322.49556138432,-23.42001403154212,-46.74204364724
13,"Spider, Giro-Zero ou Trator com trincheira",0,0,640.4,3616.2430243773,-23.41888932649032,-46.7312120750521
14,Apenas manual,0,0,493.2,1037.5827371355,-23.41816388225726,-46.7324301115341
15,Apenas manual,0,0,460.8,352.305467776066,-23.41840185901935,-46.732933933731
16,Apenas manual,0,0,18.6,2708.28172178816,-23.41653312194316,-46.7376944921557
17,Apenas manual,0,0,930.2,169.998657085958,-23.40800526011189,-46.7347420016195
18,Apenas manual,0,0,910.4,191.504381319222,-23.40812974936156,-46.7350376133869
19,Apenas manual,0,0,348.5,1047.63687832663,-23.41358797598074,-46.734869018486
20,Apenas manual,0,0,397.5,863.453963775164,-23.41308354407442,-46.7348419985227
21,Apenas manual,0,0,370.8,334.353436069262,-23.41497359783483,-46.7333923233689
22,Apenas manual,0,0,168.3,954.741203261887,-23.41507575114647,-46.7356658536652
23,Apenas manual,0,0,361.3,437.360841246375,-23.41510516213973,-46.7334388179194
24,Apenas manual,0,0,359.9,436.122954207938,-23.41520639913687,-46.7334159343041
25,Apenas manual,0,0,189.0,1037.65053339674,-23.41617292418262,-46.7349181520326
26,Apenas manual,0,0,31.7,453.108301349059,-23.41825405089498,-46.740982473597
27,Apenas manual,0,0,616.0,976.237599816242,-23.41102943934321,-46.7345405050959
28,Apenas manual,0,0,218.3,409.802049714442,-23.41843519173661,-46.7366160194399
29,Apenas manual,0,0,651.0,358.194042218636,-23.41874358084682,-46.7310176220128
30,Apenas manual,0,0,336.6,278.959790611979,-23.41686012398896,-46.7335501227578
31,Apenas manual,0,0,101.7,712.755814560507,-23.41895387302962,-46.7397177903147
32,Apenas manual,0,0,115.3,408.288805525329,-23.41900698706045,-46.7395561008317
33,Apenas manual,0,0,75.9,441.9511407203,-23.41900088238979,-46.7402840628683
34,Apenas manual,0,0,790.9,1064.78300093106,-23.41978513829837,-46.7300640863579
35,Apenas manual,0,0,87.8,4913.3701263177,-23.41832090352265,-46.7388592831694
36,Apenas manual,0,500,89.0,347.796956063453,-23.42039307034783,-46.7425001373629
37,Apenas manual,0,500,90.1,269.258633661013,-23.4201558539115,-46.7420596825445
38,Apenas manual,0,0,87.9,3747.16740379135,-23.41672533956542,-46.7393333827226
39,"Spider, Giro-Zero ou Trator com trincheira",0,0,395.4,36.9999999872234,-23.41301586208913,-46.7350212306831
40,Apenas manual,0,0,192.6,170.646993196875,-23.41784882400231,-46.7360615002731
41,Apenas manual,0,0,381.8,1024.24497713112,-23.41674114268913,-46.7330759399633
42,"Spider, Giro-Zero ou Trator com trincheira",0,0,317.0,4785.20785788049,-23.41438209461466,-46.7343741475129
43,Apenas manual,0,0,918.6,470.748252022883,-23.42098427221518,-46.7294114614872
44,"Spider, com ancoragem",1,1500,31.0,42.4672703477841,-23.42473254308073,-46.7505715585138
45,"Spider, Giro-Zero ou Trator com trincheira",1,1000,10.7,1706.18717610254,-23.421290145375,-46.7453403396483
46,Apenas manual,1,1500,72.0,134.070336078829,-23.4245912221656,-46.7496198046155
47,"Spider, com ancoragem",1,1500,25.2,41.6222074616581,-23.42469463605759,-46.7506134008146
48,Apenas manual,1,1000,16.4,442.803552067672,-23.42136273833849,-46.7453583848996
49,"Spider, Giro-Zero ou Trator com trincheira",1,1000,19.2,246.96472513794,-23.4213453159077,-46.7452803884308
50,Apenas manual,1,1500,23.8,2802.4781736503,-23.42432766173971,-46.7500410471965
51,Apenas manual,1,1000,30.7,305.601577224679,-23.4235403481065,-46.7486416996238
52,Apenas manual,1,1000,4.8,508.066585429286,-23.42134661826873,-46.7455372964729
53,Apenas manual,1,1500,56.1,355.656075377992,-23.42449016932618,-46.7497361755284
54,"Spider, Giro-Zero ou Trator com trincheira",1,1500,58.8,8395.06666780885,-23.4249479987168,-46.7504320521849
55,"Spider, Giro-Zero ou Trator com trincheira",1,1000,79.9,6653.34180252088,-23.42227274571092,-46.7485352072854
56,Apenas manual,1,1500,28.7,702.364567207857,-23.42391900632473,-46.7492923658156
57,"Spider, Giro-Zero ou Trator com trincheira",1,1500,74.9,17761.108392623,-23.42502930114548,-46.7502799095829
58,Apenas manual,2,2000,59.2,270.416953789666,-23.42988398578918,-46.7545466441599
59,"Spider, Giro-Zero ou Trator com trincheira",2,2000,48.2,2561.4536369038,-23.42987645912396,-46.7546754170814
60,Apenas manual,2,1500,86.6,2314.67575169487,-23.42534926017002,-46.7505249600521
61,Apenas manual,2,2000,100.2,235.72517954565,-23.43001963834205,-46.7541548053674
62,Apenas manual,2,2000,122.3,216.77821159557,-23.43011230888553,-46.7539605748445
63,Apenas manual,2,2000,65.2,173.140091292147,-23.43019065838554,-46.7547231926419
64,"Spider, Giro-Zero ou Trator com trincheira",2,2000,27.3,10392.8444884911,-23.42696714521616,-46.752566867111
65,"Spider, Giro-Zero ou Trator com trincheira",2,2000,124.9,2199.24936912812,-23.42863349240429,-46.7527260768214
66,Apenas manual,2,2000,89.6,233.703280070057,-23.43000766099354,-46.754274800042
67,"Spider, Giro-Zero ou Trator com trincheira",4,4500,22.4,33.6844886259741,-23.44099018404357,-46.77261036812
