km_marco_m,km_inicio,km_fim,latitude,longitude,metodo_rocada,area_rocada_m2,areas_por_metodo
0,0.0,0.5,-23.416207,-46.736768,"Spider, Giro-Zero ou Trator com trincheira",72825.7,"{""Apenas manual"": 29139.4, ""Spider, Giro-Zero ou Trator com trincheira"": 43613.7, ""Spider, com ancoragem"": 72.6}"
500,0.5,1.0,-23.418544,-46.7409,"Spider, Giro-Zero ou Trator com trincheira",4062.8,"{""Apenas manual"": 617.1, ""Spider, Giro-Zero ou Trator com trincheira"": 3445.8}"
1000,1.0,1.5,-23.420953,-46.744983,"Spider, Giro-Zero ou Trator com trincheira",9863.0,"{""Apenas manual"": 1256.5, ""Spider, Giro-Zero ou Trator com trincheira"": 8606.5}"
1500,1.5,2.0,-23.423436,-46.749013,"Spider, Giro-Zero ou Trator com trincheira",32549.5,"{""Apenas manual"": 6309.2, ""Spider, Giro-Zero ou Trator com trincheira"": 26156.2, ""Spider, com ancoragem"": 84.1}"
2000,2.0,2.5,-23.426457,-46.752486,"Spider, Giro-Zero ou Trator com trincheira",16283.3,"{""Apenas manual"": 1129.8, ""Spider, Giro-Zero ou Trator com trincheira"": 15153.5}"
2500,2.5,3.0,-23.430027,-46.755388,,0.0,{}
3000,3.0,3.5,-23.433017,-46.758888,,0.0,{}
3500,3.5,4.0,-23.435466,-46.762943,Apenas manual,977.1,"{""Apenas manual"": 977.1}"
4000,4.0,4.5,-23.437901,-46.767009,"Spider, Giro-Zero ou Trator com trincheira",40271.0,"{""Apenas manual"": 5958.0, ""Spider, Giro-Zero ou Trator com trincheira"": 34313.1}"
4500,4.5,5.0,-23.440323,-46.771083,"Spider, Giro-Zero ou Trator com trincheira",19430.0,"{""Apenas manual"": 5411.7, ""Spider, Giro-Zero ou Trator com trincheira"": 14018.3}"
5000,5.0,5.5,-23.442897,-46.77504,"Spider, Giro-Zero ou Trator com trincheira",29723.0,"{""Apenas manual"": 8318.1, ""Spider, Giro-Zero ou Trator com trincheira"": 15603.5, ""Trator com braço articulado"": 5801.4}"
5500,5.5,6.0,-23.445634,-46.77887,"Spider, Giro-Zero ou Trator com trincheira",33081.2,"{""Apenas manual"": 3186.9, ""Spider, Giro-Zero ou Trator com trincheira"": 29323.0, ""Spider, com ancoragem"": 571.3}"
6000,6.0,6.5,-23.448467,-46.782614,"Spider, Giro-Zero ou Trator com trincheira",17260.8,"{""Apenas manual"": 5320.2, ""Spider, Giro-Zero ou Trator com trincheira"": 11871.7, ""Spider, com ancoragem"": 69.0}"
6500,6.5,7.0,-23.451412,-46.786258,"Spider, Giro-Zero ou Trator com trincheira",14935.7,"{""Apenas manual"": 1757.9, ""Spider, Giro-Zero ou Trator com trincheira"": 12806.8, ""Spider, com ancoragem"": 371.0}"
7000,7.0,7.5,-23.454427,-46.789817,Apenas manual,27427.8,"{""Apenas manual"": 26406.8, ""Spider, Giro-Zero ou Trator com trincheira"": 1021.0}"
7500,7.5,8.0,-23.457988,-46.792735,,0.0,{}
8000,8.0,8.5,-23.461629,-46.795521,,0.0,{}
8500,8.5,9.0,-23.465484,-46.797953,Apenas manual,3178.7,"{""Apenas manual"": 3178.7}"
9000,9.0,9.5,-23.469418,-46.800167,"Spider, Giro-Zero ou Trator com trincheira",17124.4,"{""Apenas manual"": 6167.6, ""Spider, Giro-Zero ou Trator com trincheira"": 7942.8, ""Spider, com ancoragem"": 659.1, ""Trator com braço articulado"": 2354.9}"
9500,9.5,10.0,-23.473762,-46.80124,"Spider, Giro-Zero ou Trator com trincheira",35528.0,"{""Apenas manual"": 6955.7, ""Spider, Giro-Zero ou Trator com trincheira"": 25596.1, ""Spider, com ancoragem"": 348.1, ""Trator com braço articulado"": 2628.0}"
10000,10.0,10.5,-23.478118,-46.802251,"Spider, Giro-Zero ou Trator com trincheira",20512.7,"{""Apenas manual"": 8426.5, ""Spider, Giro-Zero ou Trator com trincheira"": 9622.5, ""Spider, com ancoragem"": 98.3, ""Trator com braço articulado"": 2365.4}"
10500,10.5,11.0,-23.482493,-46.80317,Apenas manual,7512.7,"{""Apenas manual"": 4875.5, ""Spider, Giro-Zero ou Trator com trincheira"": 2637.2}"
11000,11.0,11.5,-23.486321,-46.805384,Apenas manual,2123.4,"{""Apenas manual"": 2123.4}"
11500,11.5,12.0,-23.48981,-46.808403,Apenas manual,7707.0,"{""Apenas manual"": 4947.7, ""Spider, Giro-Zero ou Trator com trincheira"": 2371.8, ""Trator com braço articulado"": 387.5}"
12000,12.0,12.5,-23.493087,-46.811662,"Spider, Giro-Zero ou Trator com trincheira",17024.2,"{""Apenas manual"": 2261.1, ""Spider, Giro-Zero ou Trator com trincheira"": 14721.6, ""Trator com braço articulado"": 41.5}"
12500,12.5,13.0,-23.495969,-46.815365,"Spider, Giro-Zero ou Trator com trincheira",11375.6,"{""Apenas manual"": 2451.0, ""Spider, Giro-Zero ou Trator com trincheira"": 6548.1, ""Trator com braço articulado"": 2376.6}"
13000,13.0,13.5,-23.499304,-46.818428,"Spider, Giro-Zero ou Trator com trincheira",18205.8,"{""Apenas manual"": 4783.9, ""Spider, Giro-Zero ou Trator com trincheira"": 12970.2, ""Trator com braço articulado"": 451.7}"
13500,13.5,14.0,-23.503321,-46.820527,"Spider, Giro-Zero ou Trator com trincheira",7647.7,"{""Apenas manual"": 2247.0, ""Spider, Giro-Zero ou Trator com trincheira"": 3476.6, ""Trator com braço articulado"": 1924.0}"
14000,14.0,14.5,-23.507358,-46.820809,"Spider, Giro-Zero ou Trator com trincheira",18533.8,"{""Apenas manual"": 4017.5, ""Spider, Giro-Zero ou Trator com trincheira"": 11456.7, ""Trator com braço articulado"": 3059.7}"
14500,14.5,15.0,-23.511421,-46.818817,Apenas manual,473.7,"{""Apenas manual"": 473.7}"
15000,15.0,15.5,-23.515647,-46.817408,"Spider, Giro-Zero ou Trator com trincheira",27006.2,"{""Apenas manual"": 10747.3, ""Spider, Giro-Zero ou Trator com trincheira"": 12872.5, ""Trator com braço articulado"": 3386.5}"
15500,15.5,16.0,-23.520036,-46.816577,Apenas manual,5837.6,"{""Apenas manual"": 2342.1, ""Spider, Giro-Zero ou Trator com trincheira"": 2059.5, ""Trator com braço articulado"": 1436.0}"
16000,16.0,16.5,-23.524427,-46.816764,Apenas manual,922.6,"{""Apenas manual"": 922.6}"
16500,16.5,17.0,-23.528818,-46.817576,"Spider, Giro-Zero ou Trator com trincheira",10351.2,"{""Apenas manual"": 2409.9, ""Spider, Giro-Zero ou Trator com trincheira"": 7918.5, ""Trator com braço articulado"": 22.8}"
17000,17.0,17.5,-23.533249,-46.817859,Apenas manual,2646.9,"{""Apenas manual"": 2646.9}"
17500,17.5,18.0,-23.537703,-46.817817,"Spider, Giro-Zero ou Trator com trincheira",15918.3,"{""Apenas manual"": 2346.9, ""Spider, Giro-Zero ou Trator com trincheira"": 12511.4, ""Trator com braço articulado"": 1060.0}"
18000,18.0,18.5,-23.542056,-46.818597,"Spider, Giro-Zero ou Trator com trincheira",28542.6,"{""Apenas manual"": 3865.2, ""Spider, Giro-Zero ou Trator com trincheira"": 22332.0, ""Trator com braço articulado"": 2345.4}"
18500,18.5,19.0,-23.546344,-46.819916,Apenas manual,7145.9,"{""Apenas manual"": 3547.9, ""Spider, Giro-Zero ou Trator com trincheira"": 3238.0, ""Trator com braço articulado"": 360.0}"
19000,19.0,19.5,-23.55071,-46.820184,"Spider, Giro-Zero ou Trator com trincheira",36476.0,"{""Apenas manual"": 10083.0, ""Spider, Giro-Zero ou Trator com trincheira"": 26266.9, ""Trator com braço articulado"": 126.1}"
19500,19.5,20.0,-23.555138,-46.81965,"Spider, Giro-Zero ou Trator com trincheira",29189.6,"{""Apenas manual"": 8434.0, ""Spider, Giro-Zero ou Trator com trincheira"": 19930.5, ""Trator com braço articulado"": 825.0}"
20000,20.0,20.5,-23.559581,-46.819394,"Spider, Giro-Zero ou Trator com trincheira",40946.3,"{""Apenas manual"": 5561.3, ""Spider, Giro-Zero ou Trator com trincheira"": 33830.5, ""Trator com braço articulado"": 1554.5}"
20500,20.5,21.0,-23.564035,-46.819343,"Spider, Giro-Zero ou Trator com trincheira",9281.6,"{""Apenas manual"": 3129.5, ""Spider, Giro-Zero ou Trator com trincheira"": 4539.1, ""Trator com braço articulado"": 1613.0}"
21000,21.0,21.5,-23.56765,-46.817241,Apenas manual,1126.7,"{""Apenas manual"": 809.1, ""Trator com braço articulado"": 317.6}"
21500,21.5,22.0,-23.570659,-46.813658,"Spider, Giro-Zero ou Trator com trincheira",14835.6,"{""Apenas manual"": 4004.0, ""Spider, Giro-Zero ou Trator com trincheira"": 9787.0, ""Trator com braço articulado"": 1044.6}"
22000,22.0,22.5,-23.574371,-46.811186,"Spider, Giro-Zero ou Trator com trincheira",19227.4,"{""Apenas manual"": 4349.9, ""Spider, Giro-Zero ou Trator com trincheira"": 13712.1, ""Trator com braço articulado"": 1165.4}"
22500,22.5,23.0,-23.578511,-46.809393,"Spider, Giro-Zero ou Trator com trincheira",9149.4,"{""Apenas manual"": 1477.8, ""Spider, Giro-Zero ou Trator com trincheira"": 7381.2, ""Trator com braço articulado"": 290.4}"
23000,23.0,23.5,-23.582839,-46.80892,"Spider, Giro-Zero ou Trator com trincheira",25922.0,"{""Apenas manual"": 4825.2, ""Spider, Giro-Zero ou Trator com trincheira"": 20558.4, ""Trator com braço articulado"": 538.5}"
23500,23.5,24.0,-23.587283,-46.809256,"Spider, Giro-Zero ou Trator com trincheira",43349.4,"{""Apenas manual"": 9719.0, ""Spider, Giro-Zero ou Trator com trincheira"": 33076.0, ""Trator com braço articulado"": 554.4}"
24000,24.0,24.5,-23.591648,-46.810137,"Spider, Giro-Zero ou Trator com trincheira",52786.7,"{""Apenas manual"": 11328.2, ""Spider, Giro-Zero ou Trator com trincheira"": 39869.0, ""Trator com braço articulado"": 1589.5}"
24500,24.5,25.0,-23.595973,-46.811302,"Spider, Giro-Zero ou Trator com trincheira",17445.8,"{""Apenas manual"": 2244.3, ""Spider, Giro-Zero ou Trator com trincheira"": 13354.7, ""Trator com braço articulado"": 1846.8}"
25000,25.0,25.5,-23.600298,-46.812466,Apenas manual,8136.8,"{""Apenas manual"": 6288.3, ""Spider, Giro-Zero ou Trator com trincheira"": 1848.6}"
25500,25.5,26.0,-23.604623,-46.81363,Apenas manual,6184.1,"{""Apenas manual"": 3286.7, ""Spider, Giro-Zero ou Trator com trincheira"": 2897.4}"
26000,26.0,26.5,-23.608421,-46.815892,"Spider, Giro-Zero ou Trator com trincheira",13037.2,"{""Apenas manual"": 2558.1, ""Spider, Giro-Zero ou Trator com trincheira"": 10261.2, ""Spider, com ancoragem"": 218.0}"
26500,26.5,27.0,-23.611764,-46.819106,"Spider, Giro-Zero ou Trator com trincheira",24097.2,"{""Apenas manual"": 3655.3, ""Spider, Giro-Zero ou Trator com trincheira"": 20441.9}"
27000,27.0,27.5,-23.614795,-46.822645,"Spider, Giro-Zero ou Trator com trincheira",24468.4,"{""Apenas manual"": 7698.1, ""Spider, Giro-Zero ou Trator com trincheira"": 16770.3}"
27500,27.5,28.0,-23.6176,-46.826422,Apenas manual,5396.6,"{""Apenas manual"": 3926.3, ""Spider, Giro-Zero ou Trator com trincheira"": 1470.3}"
28000,28.0,28.5,-23.621495,-46.828231,Apenas manual,986.9,"{""Apenas manual"": 986.9}"
28500,28.5,29.0,-23.625862,-46.829188,"Spider, Giro-Zero ou Trator com trincheira",15763.4,"{""Apenas manual"": 2424.4, ""Spider, Giro-Zero ou Trator com trincheira"": 13338.9}"
29000,29.0,29.15,-23.630066,-46.830734,,0.0,{}
29300,29.15,29.3,-23.632539,-46.831841,,0.0,{}
